Experiment Number: 7
Min Node: 75
Max Node: 125
Min Probability: 0.5
Max Probability: 0.9
	Model Name:	 Run #	 time
	base	1	2.11918210983
	base	2	3.76357984543
	base	3	0.316074132919
	base	4	1.07210993767
	base	5	3.59201788902
	base	6	5.04294586182
	base	7	0.880175113678
	base	8	0.462026119232
	base	9	0.209416866302
	base	10	0.374627113342
base Mean:		1.78321549892
base Standard Deviation:	1.66170052149
base Variance:		2.76124862313


	ccb	1	2.06266617775
	ccb	2	3.80405592918
	ccb	3	0.316825151443
	ccb	4	1.14118599892
	ccb	5	3.72479701042
	ccb	6	5.17720794678
	ccb	7	0.889400005341
	ccb	8	0.476981878281
	ccb	9	0.216413021088
	ccb	10	0.362234115601
ccb Mean:		1.81717672348
ccb Standard Deviation:	1.70238043972
ccb Variance:		2.89809916152


	mip1	1	4.52719902992
	mip1	2	8.55145215988
	mip1	3	0.678397893906
	mip1	4	3.19686579704
	mip1	5	14.7773020267
	mip1	6	16.0418059826
	mip1	7	2.28108906746
	mip1	8	1.2273440361
	mip1	9	0.679324150085
	mip1	10	1.0588889122
mip1 Mean:		5.30196690559
mip1 Standard Deviation:	5.54251902265
mip1 Variance:		30.7195171165


	mip2	1	5.60035896301
	mip2	2	5.38750290871
	mip2	3	1.30047607422
	mip2	4	0.870412111282
	mip2	5	8.41450595856
	mip2	6	9.37475800514
	mip2	7	3.89085221291
	mip2	8	2.18318796158
	mip2	9	0.203120946884
	mip2	10	0.28537106514
mip2 Mean:		3.75105462074
mip2 Standard Deviation:	3.17571549819
mip2 Variance:		10.0851689255


	mip3	1	10.1306729317
	mip3	2	6.43168115616
	mip3	3	2.58490610123
	mip3	4	3.74813604355
	mip3	5	7.64017796516
	mip3	6	15.9666490555
	mip3	7	7.9785349369
	mip3	8	4.18246483803
	mip3	9	0.259217023849
	mip3	10	0.327009916306
mip3 Mean:		5.92494499683
mip3 Standard Deviation:	4.5640765764
mip3 Variance:		20.8307949953


	tuner	1	2.50641107559
	tuner	2	3.62117695808
	tuner	3	0.328907966614
	tuner	4	1.08529400826
	tuner	5	3.9260160923
	tuner	6	5.5338602066
	tuner	7	1.00840306282
	tuner	8	0.485230922699
	tuner	9	0.27469587326
	tuner	10	0.425081014633
tuner Mean:		1.91950771809
tuner Standard Deviation:	1.77148673151
tuner Variance:		3.1381652399


	gap	1	0.000349044799805
	gap	2	0.000727891921997
	gap	3	0.000273942947388
	gap	4	0.000320911407471
	gap	5	0.000343084335327
	gap	6	0.425338983536
	gap	7	0.000272035598755
	gap	8	0.000197172164917
	gap	9	0.000247001647949
	gap	10	0.000365018844604
gap Mean:		0.0428435087204
gap Standard Deviation:	0.127498565892
gap Variance:		0.0162558843044


	branch	1	0.000309944152832
	branch	2	0.000270843505859
	branch	3	0.000301837921143
	branch	4	0.000277042388916
	branch	5	0.000293016433716
	branch	6	0.216404914856
	branch	7	0.000309944152832
	branch	8	0.000318050384521
	branch	9	0.000275135040283
	branch	10	0.000171899795532
branch Mean:		0.0218932628632
branch Standard Deviation:	0.0648372294249
branch Variance:		0.00420386631949


