Experiment Number: 8
Min Node: 100
Max Node: 150
Min Probability: 0.5
Max Probability: 0.9
	Model Name:	 Run #	 time
	base	1	7.50093889236
	base	2	8.85323095322
	base	3	2.73487710953
	base	4	2.6713218689
	base	5	12.5478208065
	base	6	12.1155230999
	base	7	3.73159503937
	base	8	8.60904383659
	base	9	11.8825030327
	base	10	15.1965091228
base Mean:		8.58433637619
base Standard Deviation:	4.20419906582
base Variance:		17.6752897851


	ccb	1	7.22587990761
	ccb	2	8.94601917267
	ccb	3	2.62999081612
	ccb	4	2.50236320496
	ccb	5	10.0554549694
	ccb	6	10.058287859
	ccb	7	3.73510503769
	ccb	8	8.54671502113
	ccb	9	10.1502118111
	ccb	10	10.1057949066
ccb Mean:		7.39558227062
ccb Standard Deviation:	3.04810545517
ccb Variance:		9.29094686585


	mip1	1	15.2713289261
	mip1	2	20.4041202068
	mip1	3	5.21049594879
	mip1	4	5.43514609337
	mip1	5	26.3990898132
	mip1	6	36.0565469265
	mip1	7	6.15682005882
	mip1	8	15.5408091545
	mip1	9	26.5395739079
	mip1	10	38.4359760284
mip1 Mean:		19.5449907064
mip1 Standard Deviation:	11.5941709951
mip1 Variance:		134.424801064


	mip2	1	10.017031908
	mip2	2	25.3736088276
	mip2	3	7.71168804169
	mip2	4	5.77346420288
	mip2	5	22.1459860802
	mip2	6	24.661356926
	mip2	7	9.0335919857
	mip2	8	24.6110601425
	mip2	9	28.2059960365
	mip2	10	31.0775170326
mip2 Mean:		18.8611301184
mip2 Standard Deviation:	9.09323511649
mip2 Variance:		82.6869248837


	mip3	1	7.21141314507
	mip3	2	30.3910908699
	mip3	3	17.2603662014
	mip3	4	10.2085859776
	mip3	5	36.7606160641
	mip3	6	36.6389808655
	mip3	7	21.4062521458
	mip3	8	36.2849500179
	mip3	9	30.8566980362
	mip3	10	46.1086828709
mip3 Mean:		27.3127636194
mip3 Standard Deviation:	12.1021373251
mip3 Variance:		146.461727836


	tuner	1	7.67871713638
	tuner	2	9.14876699448
	tuner	3	2.95743918419
	tuner	4	2.67956709862
	tuner	5	12.6137030125
	tuner	6	12.248388052
	tuner	7	3.73136115074
	tuner	8	8.58669114113
	tuner	9	11.2434329987
	tuner	10	14.9587209225
tuner Mean:		8.58467876911
tuner Standard Deviation:	4.10588622147
tuner Variance:		16.8583016636


	gap	1	1.95495414734
	gap	2	3.65393900871
	gap	3	0.000368118286133
	gap	4	0.000425815582275
	gap	5	7.30653905869
	gap	6	7.49709296227
	gap	7	0.000352144241333
	gap	8	3.82511496544
	gap	9	6.67267298698
	gap	10	8.40542006493
gap Mean:		3.93168792725
gap Standard Deviation:	3.19359497314
gap Variance:		10.1990488525


	branch	1	0.000283002853394
	branch	2	1.19959306717
	branch	3	0.000361919403076
	branch	4	0.000405073165894
	branch	5	2.68997907639
	branch	6	8.52107310295
	branch	7	0.000343084335327
	branch	8	0.574450969696
	branch	9	7.20850610733
	branch	10	9.3102209568
branch Mean:		2.95052163601
branch Standard Deviation:	3.64966693702
branch Variance:		13.3200687512


