Experiment Number: 4
	Model Name:	 Run #	 time
	base	1	0.00203204154968
	base	2	0.000930070877075
	base	3	0.00116109848022
	base	4	0.0016040802002
	base	5	0.00139784812927
	base	6	0.000614166259766
	base	7	0.00105690956116
	base	8	0.00152707099915
	base	9	0.0015389919281
	base	10	0.0013120174408
	base	11	0.0011739730835
	base	12	0.00158500671387
	base	13	0.00207591056824
	base	14	0.00214290618896
	base	15	0.00153303146362
	base	16	0.00165891647339
	base	17	0.000477075576782
	base	18	0.00110793113708
	base	19	0.00146484375
	base	20	0.00129199028015
base Mean:	0.00138429403305
base Standard Deviation:	0.000425695670448
base Variance:	1.81216803838e-07


	ccb	1	0.00151085853577
	ccb	2	0.000977039337158
	ccb	3	0.00147485733032
	ccb	4	0.00163006782532
	ccb	5	0.00148010253906
	ccb	6	0.000778198242188
	ccb	7	0.00141596794128
	ccb	8	0.00190782546997
	ccb	9	0.00178980827332
	ccb	10	0.00144481658936
	ccb	11	0.0014979839325
	ccb	12	0.00168490409851
	ccb	13	0.00179505348206
	ccb	14	0.0028018951416
	ccb	15	0.00154495239258
	ccb	16	0.00168418884277
	ccb	17	0.000680923461914
	ccb	18	0.00112104415894
	ccb	19	0.00160503387451
	ccb	20	0.00272297859192
ccb Mean:	0.00157742500305
ccb Standard Deviation:	0.000506280736134
ccb Variance:	2.5632018378e-07


	mip1	1	0.00101208686829
	mip1	2	0.000576019287109
	mip1	3	0.000913143157959
	mip1	4	0.00100088119507
	mip1	5	0.000944137573242
	mip1	6	0.000486850738525
	mip1	7	0.000961065292358
	mip1	8	0.00116491317749
	mip1	9	0.00119209289551
	mip1	10	0.00091290473938
	mip1	11	0.000972986221313
	mip1	12	0.00101280212402
	mip1	13	0.00140810012817
	mip1	14	0.00200295448303
	mip1	15	0.00113797187805
	mip1	16	0.00107502937317
	mip1	17	0.000556945800781
	mip1	18	0.000795125961304
	mip1	19	0.00196218490601
	mip1	20	0.000927209854126
mip1 Mean:	0.00105077028275
mip1 Standard Deviation:	0.000377023194808
mip1 Variance:	1.42146489424e-07


	mip2	1	0.0010039806366
	mip2	2	0.000566005706787
	mip2	3	0.00107502937317
	mip2	4	0.00121402740479
	mip2	5	0.00125598907471
	mip2	6	0.000487089157104
	mip2	7	0.00117993354797
	mip2	8	0.00135207176208
	mip2	9	0.00131678581238
	mip2	10	0.00100207328796
	mip2	11	0.00115609169006
	mip2	12	0.00133895874023
	mip2	13	0.00150990486145
	mip2	14	0.00187683105469
	mip2	15	0.00110197067261
	mip2	16	0.00104594230652
	mip2	17	0.000429153442383
	mip2	18	0.000922203063965
	mip2	19	0.00121092796326
	mip2	20	0.00113201141357
mip2 Mean:	0.00110884904861
mip2 Standard Deviation:	0.000328829409783
mip2 Variance:	1.08128780738e-07


	mip3	1	0.00182700157166
	mip3	2	0.000689029693604
	mip3	3	0.00112009048462
	mip3	4	0.0012378692627
	mip3	5	0.00116395950317
	mip3	6	0.00049090385437
	mip3	7	0.000977039337158
	mip3	8	0.00137591362
	mip3	9	0.00132393836975
	mip3	10	0.00106692314148
	mip3	11	0.00113701820374
	mip3	12	0.00133109092712
	mip3	13	0.00185894966125
	mip3	14	0.00229001045227
	mip3	15	0.00152897834778
	mip3	16	0.00196003913879
	mip3	17	0.000501155853271
	mip3	18	0.00115203857422
	mip3	19	0.00224304199219
	mip3	20	0.0015721321106
mip3 Mean:	0.00134235620499
mip3 Standard Deviation:	0.000496037121351
mip3 Variance:	2.46052825759e-07


	tuner	1	0.00148987770081
	tuner	2	0.000664949417114
	tuner	3	0.000870943069458
	tuner	4	0.00115394592285
	tuner	5	0.00106406211853
	tuner	6	0.000441074371338
	tuner	7	0.00176787376404
	tuner	8	0.00189280509949
	tuner	9	0.00158905982971
	tuner	10	0.000798940658569
	tuner	11	0.000890016555786
	tuner	12	0.00174713134766
	tuner	13	0.00160908699036
	tuner	14	0.00154399871826
	tuner	15	0.00115489959717
	tuner	16	0.00108003616333
	tuner	17	0.00101709365845
	tuner	18	0.000775098800659
	tuner	19	0.00108504295349
	tuner	20	0.000982046127319
tuner Mean:	0.00118089914322
tuner Standard Deviation:	0.000397165176469
tuner Variance:	1.577401774e-07


	gap	1	0.0015721321106
	gap	2	0.0015721321106
	gap	3	0.0015721321106
	gap	4	0.0015721321106
	gap	5	0.0015721321106
	gap	6	0.0015721321106
	gap	7	0.0015721321106
	gap	8	0.0015721321106
	gap	9	0.0015721321106
	gap	10	0.0015721321106
	gap	11	0.0015721321106
	gap	12	0.0015721321106
	gap	13	0.0015721321106
	gap	14	0.0015721321106
	gap	15	0.0015721321106
	gap	16	0.0015721321106
	gap	17	0.0015721321106
	gap	18	0.0015721321106
	gap	19	0.0015721321106
	gap	20	0.0015721321106
gap Mean:	0.0015721321106
gap Standard Deviation:	0.0
gap Variance:	0.0


